time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.229065832e-05,-0.0001665807262,-0.000248792509,-0.0002255431127,5.273058958e-06,-9.898969772e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.004188790205,-0.006283185307,-0.002094395102,0,0,2.133192033e-05,-0.0001696966247,-0.0002528671455,-0.0002260224817,4.793689962e-06,-9.922938222e-05,0.0001231599003,-0.0009797447361,-0.001459931859,-0.001739926468,3.690184223e-05,-0.0009548359243,0,0,0,0,4.697816221e-05,0,0,0,0,0,-4.697816221e-05,0,0,0,0,0,0.0001451589713,0,0,0,0,0,-0.0001856374051,0,0,0,0,0,-1.145081299e-08,0,0,0,0,0,0.2579026137,0,0.0001231598986,-0.0009797437967,-0.001459928749,-0.001739921202,3.690184222e-05,-0.0009548350547,0.05,1,1,0
0.02,2.181128933e-05,-0.0002121207808,-0.0003101517406,-0.00025310683,4.314320966e-06,-9.946906671e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.005235987756,-0.005235987756,-0.002094395102,0,0,2.085255134e-05,-0.0002152366793,-0.000314226377,-0.000253586199,3.83495197e-06,-9.970875121e-05,0.0001203922621,-0.001242671219,-0.001814192047,-0.001952113961,2.952147377e-05,-0.0009594486657,0,0,0,0,3.75825298e-05,0,0,0,0,0,-3.75825298e-05,0,0,0,0,0,0.0002069129772,0,0,0,0,0,-0.0001250960285,0,0,0,0,0,-3.086366927e-08,0,0,0,0,0,0.2579026137,0,0.0001203922604,-0.001242669301,-0.001814186078,-0.001952106524,2.952147378e-05,-0.0009594477834,0.05,1,1,0
0.03,2.372876531e-05,-0.0002624545254,-0.0003667172821,-0.0002698847449,3.355582973e-06,-9.875001322e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.004188790205,-0.005235987756,0,0,0,2.277002732e-05,-0.0002655704239,-0.0003707919186,-0.0002703641139,2.876213977e-06,-9.898969772e-05,0.0001314628152,-0.001533274702,-0.002140776711,-0.002081271788,2.214110532e-05,-0.0009525295537,0,0,0,0,2.818689737e-05,0,0,0,0,0,-2.818689737e-05,0,0,0,0,0,0.0002640486515,0,0,0,0,0,-6.574573187e-05,0,0,0,0,0,-3.649299155e-08,0,0,0,0,0,0.2579026138,0,0.0001314628131,-0.001533271099,-0.002140766903,-0.002081262775,2.214110533e-05,-0.0009525286904,0.05,1,1,0
0.04,2.324939632e-05,-0.000312308901,-0.0004132160747,-0.0002811499163,3.115898475e-06,-9.875001322e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.005235987756,-0.004188790205,0,0,0,2.229065832e-05,-0.0003154247995,-0.0004172907112,-0.0002816292853,2.636529479e-06,-9.898969772e-05,0.0001286951769,-0.001821111202,-0.002409241266,-0.002167992145,2.029601321e-05,-0.0009525295537,0,0,0,0,2.583798926e-05,0,0,0,0,0,-2.583798926e-05,0,0,0,0,0,0.0002621424684,0,0,0,0,0,-5.50836273e-05,0,0,0,0,0,-5.434747791e-08,0,0,0,0,0,0.2579026138,0,0.0001286951749,-0.001821105165,-0.002409227284,-0.002167981957,2.029601322e-05,-0.0009525286904,0.05,1,1,0
0.05,2.51668723e-05,-0.0003640807526,-0.000446052851,-0.0002845054993,2.876213977e-06,-9.875001322e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.004188790205,-0.003141592654,0,0,0,2.420813431e-05,-0.0003671966511,-0.0004501274874,-0.0002849848682,2.396844981e-06,-9.898969772e-05,0.0001397657301,-0.002120019178,-0.002598827602,-0.002193823757,1.84509211e-05,-0.0009525295537,0,0,0,0,2.348908115e-05,0,0,0,0,0,-2.348908115e-05,0,0,0,0,0,0.000260249447,0,0,0,0,0,-4.441812828e-05,0,0,0,0,0,-6.846313284e-08,0,0,0,0,0,0.2579026138,0,0.0001397657275,-0.002120009652,-0.002598810053,-0.0021938132,1.845092111e-05,-0.0009525286904,0.05,1,1,0
0.06,2.49271878e-05,-0.0004192081872,-0.0004681038248,-0.0002852245527,3.115898475e-06,-9.851032872e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.005235987756,-0.001047197551,0,0,0,2.396844981e-05,-0.0004223240857,-0.0004721784613,-0.0002857039217,2.636529479e-06,-9.875001322e-05,0.000138381911,-0.002438301915,-0.002726141328,-0.002199359103,2.029601321e-05,-0.0009502231831,0,0,0,0,2.583798926e-05,0,0,0,0,0,-2.583798926e-05,0,0,0,0,0,0.0002210888917,0,0,0,0,0,-6.567145203e-05,0,0,0,0,0,-1.457261143e-07,0,0,0,0,0,0.2579026138,0,0.0001383819085,-0.002438287421,-0.002726121071,-0.002199348467,2.029601322e-05,-0.0009502223261,0.05,1,1,0
0.07,2.49271878e-05,-0.0004688228783,-0.0004769721512,-0.0002864229752,3.115898475e-06,-9.851032872e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.003141592654,-0.001047197551,0,0,0,2.396844981e-05,-0.0004719387768,-0.0004810467877,-0.0002869023442,2.636529479e-06,-9.875001322e-05,0.000138381911,-0.002724757482,-0.002777343652,-0.002208584681,2.029601321e-05,-0.0009502231831,0,0,0,0,2.583798926e-05,0,0,0,0,0,-2.583798926e-05,0,0,0,0,0,0.0002028626366,0,0,0,0,0,-7.037205086e-05,0,0,0,0,0,-2.124899749e-07,0,0,0,0,0,0.2579026138,0,0.0001383819085,-0.002724737255,-0.002777322232,-0.00220857391,2.029601322e-05,-0.0009502223261,0.05,1,1,0
0.08,2.636529479e-05,-0.000508610505,-0.0004788896272,-0.0002883404512,2.876213977e-06,-9.922938222e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.004188790205,0,0,0,0,2.54065568e-05,-0.0005117264035,-0.0004829642637,-0.0002888198202,2.396844981e-06,-9.946906671e-05,0.0001466848259,-0.002954476315,-0.00278841443,-0.002223345608,1.84509211e-05,-0.000957142295,0,0,0,0,2.348908115e-05,0,0,0,0,0,-2.348908115e-05,0,0,0,0,0,0.0002049694545,0,0,0,0,0,-5.867498285e-05,0,0,0,0,0,-2.313348826e-07,0,0,0,0,0,0.2579026137,0,0.0001466848229,-0.002954450529,-0.002788392752,-0.00222333462,1.845092111e-05,-0.0009571414191,0.05,1,1,0
0.09,2.660497929e-05,-0.0005519933991,-0.0004798483652,-0.0002924150877,2.876213977e-06,-9.922938222e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.003141592654,0,0,0,0,2.56462413e-05,-0.0005551092976,-0.0004839230017,-0.0002928944567,2.396844981e-06,-9.946906671e-05,0.0001480686451,-0.003204953809,-0.002793949819,-0.002254712587,1.84509211e-05,-0.000957142295,0,0,0,0,2.348908115e-05,0,0,0,0,0,-2.348908115e-05,0,0,0,0,0,0.000188855087,0,0,0,0,0,-6.283092034e-05,0,0,0,0,0,-3.134113836e-07,0,0,0,0,0,0.2579026137,0,0.000148068642,-0.003204920893,-0.002793928012,-0.002254701127,1.845092111e-05,-0.0009571414191,0.05,1,1,0
0.1,2.660497929e-05,-0.0005934588173,-0.0004793689962,-0.0002962500397,2.876213977e-06,-9.898969772e-05,9.587379924e-07,3.115898475e-06,4.074636468e-06,4.793689962e-07,4.793689962e-07,2.396844981e-07,0,-0.004188790205,0,-0.001047197551,0,0,2.56462413e-05,-0.0005965747158,-0.0004834436327,-0.0002967294087,2.396844981e-06,-9.922938222e-05,0.0001480686451,-0.00344436146,-0.002791182124,-0.00228423446,1.84509211e-05,-0.0009548359243,0,0,0,0,2.348908115e-05,0,0,0,0,0,-2.348908115e-05,0,0,0,0,0,0.0001735512085,0,0,0,0,0,-6.677783061e-05,0,0,0,0,0,-4.110729531e-07,0,0,0,0,0,0.2579026137,0,0.000148068642,-0.003444320602,-0.002791160382,-0.002284222544,1.845092111e-05,-0.0009548350547,0.05,1,1,0
