time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.013349784e-05,-0.0001936650745,-0.000259338627,-0.0002293780647,-0.001126517141,-0.000130388367,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.007330382858,-0.003141592654,-0.05026548246,0.001047197551,2.061286684e-05,-0.0001963016039,-0.0002602973649,-0.0002305764872,-0.001130352093,-0.000131347105,0.0001190084429,-0.001133349106,-0.001502830498,-0.001774983502,-0.005932992559,-0.001263889856,0,0,0,0,-0.06043802475,0,0,0,0,0,0.0101725423,0,0,0,0,0,0.03551033999,0,0,0,0,0,0.2202539693,0,0,0,0,0,1.35860928e-05,0,0,0,0,0,0.2579026122,0,0.0001190084413,-0.001133347651,-0.001502827105,-0.001774977912,-0.005932783736,-0.001263887839,0.05,1,1,0
0.02,2.013349784e-05,-0.000255503675,-0.0003362773508,-0.0002730006433,-0.001635127646,-0.000129429629,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.00837758041,-0.003141592654,-0.05131268001,0,2.061286684e-05,-0.0002581402045,-0.0003372360888,-0.0002741990658,-0.001638962598,-0.000130388367,0.0001190084429,-0.001490376053,-0.001947039913,-0.002110793602,-0.008602879685,-0.001254664357,0,0,0,0,-0.06606143344,0,0,0,0,0,0.01474875343,0,0,0,0,0,0.07588584314,0,0,0,0,0,0.2531778374,0,0,0,0,0,6.246398974e-05,0,0,0,0,0,0.2579026123,0,0.0001190084413,-0.001490372744,-0.001947032534,-0.0021107842,-0.008602243093,-0.001254662383,0.05,1,1,0
0.03,2.109223583e-05,-0.0003242931259,-0.0004105795453,-0.0002955309862,-0.00215859859,-0.000130388367,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.006283185307,0,-0.05026548246,0,2.157160483e-05,-0.0003269296554,-0.0004115382832,-0.0002967294087,-0.002162433542,-0.000131347105,0.0001245437195,-0.001887535118,-0.002376029109,-0.00228423446,-0.01135111199,-0.001263889856,0,0,0,0,-0.06972299776,0,0,0,0,0,0.0194575153,0,0,0,0,0,0.1136580219,0,0,0,0,0,0.2789443629,0,0,0,0,0,0.0001548315607,0,0,0,0,0,0.2579026122,0,0.0001245437177,-0.001887528395,-0.002376015697,-0.002284222544,-0.01134964981,-0.001263887839,0.05,1,1,0
0.04,2.085255134e-05,-0.0003930825769,-0.0004803277342,-0.0003022421521,-0.002654745501,-0.000129908998,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.005235987756,-0.001047197551,-0.0471238898,0,2.133192033e-05,-0.0003957191064,-0.0004812864722,-0.0003034405746,-0.002658580453,-0.000130867736,0.0001231599003,-0.002284695747,-0.002778727499,-0.002335897763,-0.01395630619,-0.001259277107,0,0,0,0,-0.07104296274,0,0,0,0,0,0.02391907294,0,0,0,0,0,0.1454362284,0,0,0,0,0,0.2951033025,0,0,0,0,0,0.0002911594788,0,0,0,0,0,0.2579026123,0,0.0001231598986,-0.002284683823,-0.002778706047,-0.00233588502,-0.01395358887,-0.001259275111,0.05,1,1,0
0.05,2.181128933e-05,-0.0004654672953,-0.0005376123293,-0.0003058374196,-0.00313267639,-0.0001301486825,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.004188790205,0,-0.0450294947,0,2.229065832e-05,-0.0004681038248,-0.0005385710672,-0.0003070358421,-0.003136511342,-0.0001311074205,0.0001286951769,-0.002702615948,-0.003109467794,-0.002363574546,-0.01646631967,-0.001261583481,0,0,0,0,-0.07324471315,0,0,0,0,0,0.02821521845,0,0,0,0,0,0.1725753003,0,0,0,0,0,0.3129022868,0,0,0,0,0,0.0004822866621,0,0,0,0,0,0.2579026122,0,0.0001286951749,-0.002702596211,-0.003109437732,-0.002363561344,-0.01646185743,-0.001261581475,0.05,1,1,0
0.06,2.157160483e-05,-0.0005359345378,-0.0005913016568,-0.0003091930026,-0.003581605455,-0.0001306280515,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.004188790205,0,-0.03979350695,0,2.205097383e-05,-0.0005385710672,-0.0005922603948,-0.000310391425,-0.003585440407,-0.0001315867895,0.0001273113578,-0.003109467794,-0.003419451947,-0.002389406218,-0.01882451454,-0.001266196231,0,0,0,0,-0.07204248023,0,0,0,0,0,0.03224897329,0,0,0,0,0,0.1946069684,0,0,0,0,0,0.3177402373,0,0,0,0,0,0.00070507121,0,0,0,0,0,0.2579026122,0,0.0001273113558,-0.003109437732,-0.003419411969,-0.002389392579,-0.01881784858,-0.001266194202,0.05,1,1,0
0.07,2.205097383e-05,-0.0005965747158,-0.0006430735084,-0.000310870794,-0.003937536935,-0.0001311074205,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.004188790205,0,-0.03141592654,0,2.253034282e-05,-0.0005992112453,-0.0006440322464,-0.0003120692165,-0.003941371887,-0.0001320661585,0.0001300789961,-0.003459583946,-0.003718366869,-0.002402322057,-0.02069458603,-0.001270808981,0,0,0,0,-0.06686172135,0,0,0,0,0,0.03544579482,0,0,0,0,0,0.2065080905,0,0,0,0,0,0.3059353314,0,0,0,0,0,0.0009237785469,0,0,0,0,0,0.2579026122,0,0.000130078994,-0.003459542544,-0.003718315463,-0.002402308196,-0.02068573085,-0.00127080693,0.05,1,1,0
0.08,2.300971182e-05,-0.0006531402573,-0.0006807039746,-0.0003135073235,-0.004251044258,-0.0001315867895,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.002094395102,0,-0.02932153143,0,2.348908081e-05,-0.0006557767868,-0.0006816627126,-0.000314705746,-0.00425487921,-0.0001325455275,0.0001356142727,-0.00378617651,-0.00393563482,-0.002422618381,-0.02234207327,-0.001275421731,0,0,0,0,-0.06758204138,0,0,0,0,0,0.03826050994,0,0,0,0,0,0.2136561085,0,0,0,0,0,0.312435445,0,0,0,0,0,0.001231823402,0,0,0,0,0,0.2579026122,0,0.0001356142703,-0.00378612224,-0.003935573866,-0.002422604165,-0.02233093196,-0.001275419657,0.05,1,1,0
0.09,2.420813431e-05,-0.0007032343174,-0.000697242205,-0.0003178216445,-0.004515176575,-0.000129908998,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.003141592654,0,0,-0.02408554368,0,2.468750331e-05,-0.0007058708469,-0.000698200943,-0.000319020067,-0.004519011527,-0.000130867736,0.0001425333684,-0.004075406435,-0.004031122315,-0.002455830557,-0.02373033961,-0.001259277107,0,0,0,0,-0.06471663248,0,0,0,0,0,0.0406310888,0,0,0,0,0,0.2158438518,0,0,0,0,0,0.3052556942,0,0,0,0,0,0.001522667645,0,0,0,0,0,0.2579026123,0,0.0001425333657,-0.004075338753,-0.004031056815,-0.002455815749,-0.02371699142,-0.001259275111,0.05,1,1,0
0.1,2.54065568e-05,-0.0007473362651,-0.0007053914779,-0.000320937543,-0.004731132308,-0.0001291899445,-4.793689962e-07,2.636529479e-06,9.587379924e-07,1.198422491e-06,3.83495197e-06,9.587379924e-07,0,-0.004188790205,0,0,-0.01884955592,0,2.58859258e-05,-0.0007499727946,-0.0007063502159,-0.0003221359655,-0.00473496726,-0.0001301486825,0.0001494524643,-0.004330040956,-0.004078174194,-0.002479817138,-0.02486556966,-0.001252357983,0,0,0,0,-0.06141823394,0,0,0,0,0,0.04256867801,0,0,0,0,0,0.2137031652,0,0,0,0,0,0.2951621525,0,0,0,0,0,0.001816967946,0,0,0,0,0,0.2579026123,0,0.0001494524611,-0.004329959778,-0.004078106374,-0.002479801891,-0.02485021437,-0.00125235602,0.05,1,1,0
