x_meters,y_meters
-0.013589117774903302,-0.08255530253994509
-0.022737252746077255,-0.08050377447395346
-0.031946015874408526,-0.07789226069680774
-0.04065706041064591,-0.07419962007617789
-0.04831203960553803,-0.06890471147973423
-0.05443426256384925,-0.06268712686542931
-0.06242856018081659,-0.06723730855894637
-0.07112749101762665,-0.06370595319935365
-0.07263148979175604,-0.05369970394663467
-0.0789296388076104,-0.05710711657710704
-0.08801286246445919,-0.05899544880164405
-0.0963428446306443,-0.05519674643590819
-0.10000000000000002,-0.04699091433429909
-0.09770728345770374,-0.037451326463344654
-0.09034957023507252,-0.03244121196444268
-0.08088228179395264,-0.031033845659788093
-0.07334787725455394,-0.02775888063274881
-0.07324854682857872,-0.018243214295093447
-0.07130248891841907,-0.009021538682885985
-0.06771054749870926,-0.00027464476347596094
-0.06263108338936832,0.007707960823972172
-0.05622245741031528,0.014636771440294048
-0.04864303038146916,0.020222280446325257
-0.05445026113658801,0.025622986854699492
-0.0576078791156665,0.0341909455822847
-0.054824582911786456,0.043445846057700556
-0.04769547342214057,0.048967896352754524
-0.038392196229803825,0.0495125490413633
-0.03548986720099537,0.054757613600127375
-0.03333010067477119,0.06424109547780787
-0.028016925969853543,0.07245874302090213
-0.02040241541004531,0.07802013656538337
-0.011569727236719278,0.08153321304007984
-0.002103422283082883,0.08268963226795606
0.007142530184538487,0.08123091805149023
0.01531416089981924,0.07689859419316063
0.021612165891926265,0.0695900878087634
0.023816165848336287,0.06062277029769543
0.021582761844171208,0.0515908718299741
0.01582393437202123,0.044120012705777666
0.024127413703218272,0.04298039793118075
0.03316782176840954,0.041341963959140936
0.04212623516658957,0.038389783161136656
0.050565638544268474,0.03409980525546296
0.05832492824013807,0.028671146586673867
0.0652184154272464,0.022283253818844086
0.07114522149125525,0.014906631844606865
0.07573574460775437,0.006661783795460011
0.07805273205158979,-0.0024428794301434302
0.08693291867925193,-0.003252983768079604
0.09627360476943786,-0.004270445144299833
0.1,-0.011133050693708657
0.09254161749627816,-0.0172774126432585
0.08420671312171694,-0.0217758084153271
0.07924411450992103,-0.028503620804622206
0.07663311250571406,-0.03749502606173915
0.07184348863884425,-0.04553950489812499
0.06557857671761322,-0.05273163095806971
0.05854171055032252,-0.05916597788586325
0.05115505703623263,-0.06488309717562389
0.04311029501653128,-0.06982742213623748
0.03464205092454997,-0.07401965543210828
0.025826457009509085,-0.07743089507822595
0.016739645520628694,-0.08003223908957999
0.00745774870712893,-0.08179478548116015
-0.0019431011817699253,-0.08268963226795606
-0.011386771896847605,-0.08268787746495743
0.012484258219846462,-0.07833234562305709
0.021608642049801053,-0.07587352150462948
0.030528030784056973,-0.07266050141278722
0.03914014056669304,-0.06869498932810726
0.04734268754178781,-0.06397868923116638
0.05503338785342024,-0.05851330510254133
0.06210995764566895,-0.05230054092280908
0.0684701130626128,-0.045342100672546244
0.07380903480227737,-0.03760642605211152
0.0772520746445334,-0.02772254880810183
0.07055948167451427,-0.028552468090026525
0.06258173688191343,-0.02636073483097481
0.0591378304322312,-0.017294414084437156
0.061488402994658145,-0.008275955930111151
0.06852753362972211,-0.0029789117669051417
0.07568857032744486,-0.0008605902768209024
0.07176993333735546,0.008446178860651521
0.06682824817190045,0.016436903636239023
0.060500994943528945,0.023443604018629213
0.053190952182049986,0.02943656323105066
0.045083375102007786,0.034300095638909935
0.03636351891794733,0.03791851560761318
0.027216638844413114,0.04017613750256681
0.01782799009594957,0.040957275689177175
0.008061637046791744,0.039191541992871864
0.0083601358079163,0.04198906069248976
0.015801582074421578,0.04783941892047228
0.020592063645342232,0.05587119778204011
0.020704861631379932,0.06503652171786928
0.015788035117017773,0.07331841891143862
0.008120226933683911,0.07831303167892684
-0.0010923478619141865,0.08022668061962758
-0.0106242435136579,0.07934377224200267
-0.019266772822967793,0.0759373761517609
-0.026666489772032953,0.06998037891257769
-0.03179489331692976,0.06203124170677758
-0.03304746189081841,0.05293688392278552
-0.028324443052453983,0.04405992976939351
-0.03350559937115297,0.044742703772322825
-0.042804234629858114,0.046988930164649036
-0.051150910301602945,0.043973024595217264
-0.05496320293581375,0.035211676303144826
-0.052065883037626076,0.026530965943048587
-0.04268917350985414,0.023297919285484445
-0.04482802109991138,0.019542088079070468
-0.05281883761505963,0.01460198075376859
-0.05955009819211245,0.007989234713846629
-0.0648943485388032,0.00014484661635651993
-0.06872413436286522,-0.008490186881649531
-0.07100712917380148,-0.017534103760240914
-0.07143049258439821,-0.027425077891846734
-0.0763046011817831,-0.03345824962069231
-0.08654331779197934,-0.033922342873527286
-0.09466701471420969,-0.038205451917770625
-0.0977153545954783,-0.046427734353510094
-0.0931299831017519,-0.05488819544614143
-0.08422210923050666,-0.056322350531677993
-0.07571464342773732,-0.052219212165438796
-0.06894747414176639,-0.050279882746239304
-0.06953166360485469,-0.06070029524642497
-0.062316348136020785,-0.06444009974745231
-0.05480552452172903,-0.05971805587360362
-0.04812552229259414,-0.06565281146622573
-0.04051458478123156,-0.072020454108704
-0.031647572768486544,-0.07542018252989373
-0.022597594033998015,-0.07816236796322816
-0.013329892690549829,-0.07990117923010133
-0.003931930873162077,-0.08046708774241296
-0.015171832353825998,-0.04937163029210936
-0.018588316164773695,-0.040268653615872
-0.02518894379757678,-0.041942478474369396
-0.03450428931325641,-0.04359165464178139
-0.0437219668980171,-0.041738550919263775
-0.0511903665137221,-0.03630099164027171
-0.055650309759855764,-0.027470007006942996
-0.05420800953933808,-0.019816564537096692
-0.044321843457284654,-0.020668725470484983
-0.03486023406692488,-0.020513212877010616
-0.025590779646145263,-0.018956892043090475
-0.021488750447939835,-0.01901676548250785
-0.02996105618576307,-0.02252968959357817
-0.04036660986521222,-0.023475782605410753
-0.05033913962244175,-0.022493447264714684
-0.05428116223570431,-0.026456298314941385
-0.049184116760601845,-0.03548911099106545
-0.04134604375252609,-0.04031482408845195
-0.032022804770474915,-0.04134343968260941
-0.023097447896907857,-0.038413037780102695
-0.01567153293186273,-0.03367702547421506
-0.016251508929588782,-0.04374252505033958
-0.009143586608155082,-0.04600956618293103
-0.0019272283235999734,-0.03821538488896362
-0.003272830007997379,-0.04341461841961203
-0.010496992950163328,-0.04946935118003413
