time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.11,2.49271878e-05,-0.0007209709703,-0.0007871238918,-0.0003451456773,4.793689962e-07,-0.0001013865427,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.420813431e-05,-0.0007233678153,-0.0007904794748,-0.0003475425223,2.396844981e-07,-0.0001018659117,0.0001397657301,-0.004176429743,-0.004563918525,-0.002675400314,1.845092109e-06,-0.0009802060031,0,0,0,0,2.348908116e-06,0,0,0,0,0,-2.348908116e-06,0,0,0,0,0,0.0001829417804,0,0,0,0,0,3.526415448e-05,0,0,0,0,0,2.625535114e-07,0,0,0,0,0,0.2579026136,0,0.0001397657275,-0.004176356902,-0.00456382347,-0.002675381168,1.845092111e-06,-0.0009802050623,0.05,1,1,0
0.12,2.51668723e-05,-0.0007545268,-0.0007864048383,-0.0003508981052,4.793689962e-07,-0.0001025849652,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.444781881e-05,-0.000756923645,-0.0007897604213,-0.0003532949502,2.396844981e-07,-0.0001030643342,0.0001411495493,-0.004370173703,-0.00455976684,-0.002719683371,1.845092109e-06,-0.0009917378581,0,0,0,0,2.348908116e-06,0,0,0,0,0,-2.348908116e-06,0,0,0,0,0,0.0001654562435,0,0,0,0,0,3.07545888e-05,0,0,0,0,0,2.723741601e-07,0,0,0,0,0,0.2579026136,0,0.0001411495466,-0.004370090247,-0.004559672045,-0.002719663257,1.845092111e-06,-0.0009917368837,0.05,1,1,0
0.13,2.444781881e-05,-0.0007868842073,-0.0007856857848,-0.0003552124262,7.190534943e-07,-0.0001030643342,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.372876531e-05,-0.0007892810523,-0.0007890413678,-0.0003576092712,4.793689962e-07,-0.0001035437032,0.0001369980918,-0.004556999051,-0.004555615157,-0.002752895682,3.690184219e-06,-0.0009963506003,0,0,0,0,4.697816232e-06,0,0,0,0,0,-4.697816232e-06,0,0,0,0,0,0.0001250382813,0,0,0,0,0,8.413681861e-06,0,0,0,0,0,8.74063307e-08,0,0,0,0,0,0.2579026136,0,0.0001369980894,-0.004556904428,-0.00455552062,-0.002752874822,3.690184222e-06,-0.0009963496123,0.05,1,1,0
0.14,2.49271878e-05,-0.0008156463471,-0.0007856857848,-0.0003583283247,4.793689962e-07,-0.0001035437032,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.002094395102,0,0,0,0,2.420813431e-05,-0.000818043192,-0.0007890413678,-0.0003607251697,2.396844981e-07,-0.0001040230722,0.0001397657301,-0.004723066728,-0.004555615157,-0.00277688236,1.845092109e-06,-0.001000963343,0,0,0,0,2.348908116e-06,0,0,0,0,0,-2.348908116e-06,0,0,0,0,0,0.0001338452597,0,0,0,0,0,2.260203346e-05,0,0,0,0,0,2.721650762e-07,0,0,0,0,0,0.2579026135,0,0.0001397657275,-0.004722961378,-0.00455552062,-0.002776860951,1.845092111e-06,-0.001000962341,0.05,1,1,0
0.15,2.49271878e-05,-0.0008427306953,-0.0007859254693,-0.0003631220146,-2.396844981e-07,-0.0001037833877,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.002094395102,0,0,0,0,2.420813431e-05,-0.0008451275403,-0.0007892810523,-0.0003655188596,-4.793689962e-07,-0.0001042627567,0.0001397657301,-0.004879447747,-0.004556999051,-0.00281378496,-3.690184219e-06,-0.001003269714,0,0,0,0,-4.697816232e-06,0,0,0,0,0,4.697816232e-06,0,0,0,0,0,0.0001878824264,0,0,0,0,0,7.228938645e-05,0,0,0,0,0,9.98680751e-07,0,0,0,0,0,0.2579026135,0,0.0001397657275,-0.004879331583,-0.004556904428,-0.002813762685,-3.690184222e-06,-0.001003268705,0.05,1,1,0
0.16,2.49271878e-05,-0.0008683769366,-0.0007854461003,-0.0003659982286,-4.793689962e-07,-0.0001047421257,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.001047197551,0,0,0,0,2.420813431e-05,-0.0008707737816,-0.0007888016833,-0.0003683950736,-7.190534943e-07,-0.0001052214947,0.0001397657301,-0.005027525927,-0.004554231262,-0.002835926529,-5.535276328e-06,-0.001012495199,0,0,0,0,-7.046724347e-06,0,0,0,0,0,7.046724347e-06,0,0,0,0,0,0.000192268988,0,0,0,0,0,8.5337701e-05,0,0,0,0,0,1.340520401e-06,0,0,0,0,0,0.2579026135,0,0.0001397657275,-0.005027398863,-0.004554136811,-0.002835903724,-5.535276334e-06,-0.001012494162,0.05,1,1,0
0.17,2.468750331e-05,-0.00088827075,-0.0007856857848,-0.0003676760201,-7.190534943e-07,-0.0001042627567,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.002094395102,0,-0.001047197551,0,0,2.396844981e-05,-0.000890667595,-0.0007890413678,-0.0003700728651,-9.587379924e-07,-0.0001047421257,0.000138381911,-0.005142390708,-0.004555615157,-0.002848842447,-7.380368438e-06,-0.001007882456,0,0,0,0,-9.395632463e-06,0,0,0,0,0,9.395632463e-06,0,0,0,0,0,0.0001967031389,0,0,0,0,0,9.839828895e-05,0,0,0,0,0,1.74374469e-06,0,0,0,0,0,0.2579026135,0,0.0001383819085,-0.005142254734,-0.00455552062,-0.00284881933,-7.380368445e-06,-0.001007881434,0.05,1,1,0
0.18,2.54065568e-05,-0.0009028915044,-0.0007849667313,-0.0003703125496,-7.190534943e-07,-0.0001045024412,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.001047197551,0,0,0,0,2.468750331e-05,-0.0009052883494,-0.0007883223143,-0.0003727093946,-9.587379924e-07,-0.0001049818102,0.0001425333684,-0.005226809628,-0.004551463474,-0.002869138896,-7.380368438e-06,-0.001010188828,0,0,0,0,-9.395632463e-06,0,0,0,0,0,9.395632463e-06,0,0,0,0,0,0.000178330336,0,0,0,0,0,9.365989507e-05,0,0,0,0,0,1.859444617e-06,0,0,0,0,0,0.2579026135,0,0.0001425333657,-0.005226666847,-0.004551369195,-0.002869115281,-7.380368445e-06,-0.001010187798,0.05,1,1,0
0.19,2.56462413e-05,-0.0009220662642,-0.0007856857848,-0.0003731887636,-7.190534943e-07,-0.0001042627567,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.49271878e-05,-0.0009244631092,-0.0007890413678,-0.0003755856085,-9.587379924e-07,-0.0001047421257,0.0001439171876,-0.005337523263,-0.004555615157,-0.002891280483,-7.380368438e-06,-0.001007882456,0,0,0,0,-9.395632463e-06,0,0,0,0,0,9.395632463e-06,0,0,0,0,0,0.0001614707498,0,0,0,0,0,8.931176373e-05,0,0,0,0,0,1.974101909e-06,0,0,0,0,0,0.2579026135,0,0.0001439171848,-0.005337371216,-0.00455552062,-0.002891256317,-7.380368445e-06,-0.001007881434,0.05,1,1,0
0.2,2.56462413e-05,-0.0009326123821,-0.0007856857848,-0.000374387186,-9.587379924e-07,-0.0001049818102,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.001047197551,0,0,0,0,2.49271878e-05,-0.0009350092271,-0.0007890413678,-0.000376784031,-1.198422491e-06,-0.0001054611792,0.0001439171876,-0.005398415909,-0.004555615157,-0.002900506147,-9.225460547e-06,-0.00101480157,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,0.0001667911459,0,0,0,0,0,0.0001026009166,0,0,0,0,0,2.510823146e-06,0,0,0,0,0,0.2579026135,0,0.0001439171848,-0.005398258598,-0.00455552062,-0.002900481749,-9.225460556e-06,-0.001014800526,0.05,1,1,0
0.21,2.54065568e-05,-0.0009424394466,-0.0007856857848,-0.000377742769,-9.587379924e-07,-0.0001045024412,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.468750331e-05,-0.0009448362915,-0.0007890413678,-0.000380139614,-1.198422491e-06,-0.0001049818102,0.0001425333684,-0.005455156877,-0.004555615157,-0.002926338012,-9.225460547e-06,-0.001010188828,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,0.0001486018892,0,0,0,0,0,9.790985981e-05,0,0,0,0,0,2.639387479e-06,0,0,0,0,0,0.2579026135,0,0.0001425333657,-0.005454994554,-0.00455552062,-0.002926312956,-9.225460556e-06,-0.001010187798,0.05,1,1,0
0.22,2.58859258e-05,-0.000948910928,-0.0007856857848,-0.0003798999295,-9.587379924e-07,-0.0001049818102,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.51668723e-05,-0.000951307773,-0.0007890413678,-0.0003822967745,-1.198422491e-06,-0.0001054611792,0.0001453010068,-0.005492522931,-0.004555615157,-0.002942944217,-9.225460547e-06,-0.00101480157,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,0.0001348603176,0,0,0,0,0,9.436587257e-05,0,0,0,0,0,2.789418912e-06,0,0,0,0,0,0.2579026135,0,0.0001453010038,-0.005492357249,-0.00455552062,-0.002942918731,-9.225460556e-06,-0.001014800526,0.05,1,1,0
0.23,2.51668723e-05,-0.0009529855645,-0.0007859254693,-0.000381098352,-9.587379924e-07,-0.0001047421257,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.444781881e-05,-0.0009553824095,-0.0007892810523,-0.000383495197,-1.198422491e-06,-0.0001052214947,0.0001411495493,-0.005516049727,-0.004556999051,-0.002952169888,-9.225460547e-06,-0.001012495199,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,0.0001208300573,0,0,0,0,0,9.074743178e-05,0,0,0,0,0,2.929144204e-06,0,0,0,0,0,0.2579026135,0,0.0001411495466,-0.005515881907,-0.004556904428,-0.002952144162,-9.225460556e-06,-0.001012494162,0.05,1,1,0
0.24,2.58859258e-05,-0.000955142725,-0.0007852064158,-0.000381577721,-9.587379924e-07,-0.0001054611792,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.51668723e-05,-0.0009575395699,-0.0007885619988,-0.000383974566,-1.198422491e-06,-0.0001059405482,0.0001453010068,-0.005528505095,-0.004552847368,-0.002955860156,-9.225460547e-06,-0.001019414313,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,0.0001090824734,0,0,0,0,0,8.771769919e-05,0,0,0,0,0,3.079922544e-06,0,0,0,0,0,0.2579026135,0,0.0001453010038,-0.005528336136,-0.004552753003,-0.002955834334,-9.225460556e-06,-0.001019413255,0.05,1,1,0
0.25,2.49271878e-05,-0.0009565808319,-0.0007859254693,-0.000383015828,-1.198422491e-06,-0.0001054611792,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.420813431e-05,-0.0009589776769,-0.0007892810523,-0.000385412673,-1.438106989e-06,-0.0001059405482,0.0001397657301,-0.005536808677,-0.004556999051,-0.002966930964,-1.107055266e-05,-0.001019414313,0,0,0,0,-1.409344869e-05,0,0,0,0,0,1.409344869e-05,0,0,0,0,0,0.0001210011501,0,0,0,0,0,0.0001027085659,0,0,0,0,0,3.909112027e-06,0,0,0,0,0,0.2579026135,0,0.0001397657275,-0.005536638955,-0.004556904428,-0.00296690485,-1.107055267e-05,-0.001019413255,0.05,1,1,0
0.26,2.660497929e-05,-0.000955622094,-0.0007864048383,-0.0003856523575,-1.198422491e-06,-0.0001052214947,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.58859258e-05,-0.0009580189389,-0.0007897604213,-0.0003880492024,-1.438106989e-06,-0.0001057008637,0.0001494524643,-0.005531272956,-0.00455976684,-0.002987227449,-1.107055266e-05,-0.001017107942,0,0,0,0,-1.409344869e-05,0,0,0,0,0,1.409344869e-05,0,0,0,0,0,0.0001085057077,0,0,0,0,0,9.948595869e-05,0,0,0,0,0,4.091129956e-06,0,0,0,0,0,0.2579026135,0,0.0001494524611,-0.005531103742,-0.004559672045,-0.002987200796,-1.107055267e-05,-0.001017106891,0.05,1,1,0
0.27,2.56462413e-05,-0.0009561014629,-0.0007866445228,-0.0003861317265,-1.198422491e-06,-0.0001052214947,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.49271878e-05,-0.0009584983079,-0.0007900001058,-0.0003885285714,-1.438106989e-06,-0.0001057008637,0.0001439171876,-0.005534040816,-0.004561150735,-0.00299091772,-1.107055266e-05,-0.001017107942,0,0,0,0,-1.409344869e-05,0,0,0,0,0,1.409344869e-05,0,0,0,0,0,9.742619862e-05,0,0,0,0,0,9.662852434e-05,0,0,0,0,0,4.28048532e-06,0,0,0,0,0,0.2579026135,0,0.0001439171848,-0.005533871349,-0.004561055853,-0.002990890968,-1.107055267e-05,-0.001017106891,0.05,1,1,0
0.28,2.51668723e-05,-0.0009558617785,-0.0007880826298,-0.0003863714109,-1.438106989e-06,-0.0001047421257,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.444781881e-05,-0.0009582586234,-0.0007914382127,-0.0003887682559,-1.677791487e-06,-0.0001052214947,0.0001411495493,-0.005532656886,-0.004569454104,-0.002992762855,-1.291564477e-05,-0.001012495199,0,0,0,0,-1.644235681e-05,0,0,0,0,0,1.644235681e-05,0,0,0,0,0,0.0001122811419,0,0,0,0,0,0.000112376662,0,0,0,0,0,5.347609076e-06,0,0,0,0,0,0.2579026135,0,0.0001411495466,-0.005532487546,-0.004569358703,-0.002992736054,-1.291564478e-05,-0.001012494162,0.05,1,1,0
0.29,2.51668723e-05,-0.000955142725,-0.0007883223143,-0.0003878095179,-9.587379924e-07,-0.0001064199172,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,0,0,0,0,0,2.444781881e-05,-0.0009575395699,-0.0007916778972,-0.0003902063629,-1.198422491e-06,-0.0001068992862,0.0001411495493,-0.005528505095,-0.004570837999,-0.003003833669,-9.225460547e-06,-0.001028639799,0,0,0,0,-1.174454058e-05,0,0,0,0,0,1.174454058e-05,0,0,0,0,0,5.769715475e-05,0,0,0,0,0,7.446529119e-05,0,0,0,0,0,3.796703132e-06,0,0,0,0,0,0.2579026134,0,0.0001411495466,-0.005528336136,-0.004570742511,-0.003003806569,-9.225460556e-06,-0.001028638712,0.05,1,1,0
