stage_index,run_dir,k1_5,k2_5,nominal_inertia5,gamma_theta,sigma_theta,cycles,duration_s,absolute_error_integral_rad_s,error_rms_rad,error_peak_rad,theta_final,tau_cmd_peak_nm,aborted,remark
1,20260901_170516,112,187,0.045,0.050,0.10,1,15.000,0.007086559,0.000724720,0.003908340,0.012741878,0.949011,false,baseline
2,20260901_170607,112,187,0.045,0.500,0.10,1,12.943,0.011804761,0.000634817,0.020597287,0.022257815,1.000000,true,joint5-velocity-abort
3,20260901_170643,112,187,0.045,0.100,0.10,1,15.000,0.006818426,0.000700499,0.003863279,0.013084544,0.935521,false,recommended
4,20260901_170718,112,187,0.045,0.200,0.10,1,5.894,0.008469986,0.003610915,0.020978486,0.033911311,1.000000,true,joint5-velocity-abort
5,20260901_170743,112,187,0.045,0.150,0.10,1,15.000,0.007318312,0.000694812,0.003362842,0.014676282,0.884126,false,refine
6,20260901_170821,112,187,0.045,0.115,0.10,1,15.000,0.007658603,0.000761462,0.004019456,0.013420192,0.990266,false,refine-upper
