case,run_dir,k1_5,k2_5,nominal_inertia5,gamma_theta,sigma_theta,cycles,virtual_accel_limit5,tau_limit5,duration_s,absolute_error_integral_rad_s,error_rms_rad,error_peak_rad,tau_cmd_peak_nm,torque_rate_saturation_fraction,aborted,result_image
arm5_recommended,20260901_170643,112,187,0.045,0.1,0.1,1,50,1.0,15.000,0.006818425876,0.000700499106,0.003863279255,0.9355213223,0.356000,false,20260901_170643/arm5_backstepping_result.png
arm6_parameters_on_arm5,20260901_193947,62,50,0.135,1.5,1.8,1,28,1.0,15.000,0.018401253583,0.001408549749,0.004492978856,0.9643502826,0.043333,false,20260901_193947/arm5_backstepping_result.png
