time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.061286684e-05,-0.0001598695602,-0.00025310683,-0.0002233859522,3.83495197e-06,-0.0001030643342,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.004188790205,-0.007330382858,-0.004188790205,0,0,1.893507535e-05,-0.0001615473517,-0.000256462413,-0.0002241050057,3.115898475e-06,-0.0001035437032,0.000109321709,-0.0009326947742,-0.001480689263,-0.001725165615,2.398619743e-05,-0.0009963506003,0,0,0,0,2.804308666e-05,0,0,0,0,0,-2.804308666e-05,0,0,0,0,0,0.0001235235385,0,0,0,0,0,-0.0001099654191,0,0,0,0,0,-6.783080431e-09,0,0,0,0,0,0.2579026136,0,0.0001093217078,-0.0009326939638,-0.001480686018,-0.001725160482,2.398619744e-05,-0.0009963496123,0.05,1,1,0
0.02,2.061286684e-05,-0.0002111620428,-0.0003360376663,-0.0002674878999,2.876213977e-06,-0.0001028246497,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.00837758041,-0.003141592654,0,0,1.893507535e-05,-0.0002128398343,-0.0003393932493,-0.0002682069534,2.157160483e-06,-0.0001033040187,0.000109321709,-0.001228832972,-0.00195949441,-0.002064665771,1.660582899e-05,-0.0009940442292,0,0,0,0,1.941444462e-05,0,0,0,0,0,-1.941444462e-05,0,0,0,0,0,0.0001933638372,0,0,0,0,0,-4.831574254e-05,0,0,0,0,0,-1.192045116e-08,0,0,0,0,0,0.2579026136,0,0.0001093217078,-0.001228831118,-0.001959486888,-0.002064656972,1.6605829e-05,-0.000994043248,0.05,1,1,0
0.03,2.061286684e-05,-0.0002662894774,-0.0004216050322,-0.0002950516172,2.157160483e-06,-0.0001035437032,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.006283185307,-0.002094395102,0,0,1.893507535e-05,-0.0002679672689,-0.0004249606151,-0.0002957706707,1.438106989e-06,-0.0001040230722,0.000109321709,-0.001547112979,-0.002453524164,-0.002276853991,1.107055266e-05,-0.001000963343,0,0,0,0,1.294296309e-05,0,0,0,0,0,-1.294296309e-05,0,0,0,0,0,0.0002370416749,0,0,0,0,0,-4.322853423e-06,0,0,0,0,0,-2.39945391e-09,0,0,0,0,0,0.2579026135,0,0.0001093217078,-0.001547109277,-0.002453509397,-0.00227684219,1.107055267e-05,-0.001000962341,0.05,1,1,0
0.04,2.061286684e-05,-0.0003269296554,-0.0004983040716,-0.0003099120561,1.677791487e-06,-0.0001042627567,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.007330382858,0,0,0,1.893507535e-05,-0.0003286074469,-0.0005016596545,-0.0003106311095,9.587379924e-07,-0.0001047421257,0.000109321709,-0.001897221943,-0.002896354608,-0.002391251338,7.380368438e-06,-0.001007882456,0,0,0,0,8.628642058e-06,0,0,0,0,0,-8.628642058e-06,0,0,0,0,0,0.0002552183258,0,0,0,0,0,2.218379272e-05,0,0,0,0,0,2.188732376e-08,0,0,0,0,0,0.2579026135,0,0.0001093217078,-0.001897215116,-0.002896330314,-0.002391237667,7.380368445e-06,-0.001007881434,0.05,1,1,0
0.05,2.037318234e-05,-0.0003904460474,-0.0005627792016,-0.000317102591,1.438106989e-06,-0.0001047421257,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.005235987756,0,0,0,1.869539085e-05,-0.0003921238389,-0.0005661347845,-0.0003178216445,7.190534943e-07,-0.0001052214947,0.0001079378898,-0.002263938179,-0.003268611238,-0.002446604951,5.535276328e-06,-0.001012495199,0,0,0,0,6.471481544e-06,0,0,0,0,0,-6.471481544e-06,0,0,0,0,0,0.0002511281995,0,0,0,0,0,3.203835859e-05,0,0,0,0,0,4.938178364e-08,0,0,0,0,0,0.2579026135,0,0.0001079378887,-0.002263926577,-0.003268576321,-0.002446590309,5.535276334e-06,-0.001012494162,0.05,1,1,0
0.06,2.157160483e-05,-0.0004573180224,-0.0006224606416,-0.000320458174,1.438106989e-06,-0.0001066596017,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.004188790205,0,0,0,1.989381334e-05,-0.0004589958139,-0.0006258162246,-0.0003211772275,7.190534943e-07,-0.0001071389707,0.0001148569855,-0.002650029834,-0.003613192908,-0.002472436651,5.535276328e-06,-0.001030946171,0,0,0,0,6.471481544e-06,0,0,0,0,0,-6.471481544e-06,0,0,0,0,0,0.0002271368809,0,0,0,0,0,2.585093482e-05,0,0,0,0,0,5.736368188e-08,0,0,0,0,0,0.2579026134,0,0.0001148569841,-0.002650011227,-0.003613145742,-0.00247242154,5.535276334e-06,-0.001030945076,0.05,1,1,0
0.07,2.181128933e-05,-0.0005136438794,-0.0006663229047,-0.0003226153345,1.438106989e-06,-0.0001068992862,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.005235987756,-0.003141592654,0,0,0,2.013349784e-05,-0.0005153216709,-0.0006696784877,-0.0003233343879,7.190534943e-07,-0.0001073786552,0.0001162408046,-0.00297523408,-0.003866441102,-0.002489042748,5.535276328e-06,-0.001033252542,0,0,0,0,6.471481544e-06,0,0,0,0,0,-6.471481544e-06,0,0,0,0,0,0.0002046101752,0,0,0,0,0,2.004123854e-05,0,0,0,0,0,6.051496612e-08,0,0,0,0,0,0.2579026134,0,0.0001162408032,-0.002975207747,-0.003866383307,-0.00248902733,5.535276334e-06,-0.00103325144,0.05,1,1,0
0.08,2.253034282e-05,-0.0005608617256,-0.0006941263065,-0.0003271693399,1.198422491e-06,-0.0001066596017,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.004188790205,-0.001047197551,0,0,0,2.085255134e-05,-0.0005625395171,-0.0006974818895,-0.0003278883934,4.793689962e-07,-0.0001071389707,0.0001203922621,-0.003247853373,-0.00402697068,-0.002524100077,3.690184219e-06,-0.001030946171,0,0,0,0,4.314321029e-06,0,0,0,0,0,-4.314321029e-06,0,0,0,0,0,0.0002047351034,0,0,0,0,0,3.098287799e-05,0,0,0,0,0,1.221546235e-07,0,0,0,0,0,0.2579026134,0,0.0001203922604,-0.003247819117,-0.004026905383,-0.002524083998,3.690184222e-06,-0.001030945076,0.05,1,1,0
0.09,2.324939632e-05,-0.0006040049352,-0.0007056311624,-0.0003298058694,4.793689962e-07,-0.0001073786552,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.004188790205,0,0,0,0,2.157160483e-05,-0.0006056827267,-0.0007089867454,-0.0003305249229,-2.396844981e-07,-0.0001078580241,0.0001245437195,-0.003496948248,-0.004093396871,-0.002544396432,-1.845092109e-06,-0.001037865285,0,0,0,0,-2.157160515e-06,0,0,0,0,0,2.157160515e-06,0,0,0,0,0,0.0002461383879,0,0,0,0,0,7.43891536e-05,0,0,0,0,0,3.710658292e-07,0,0,0,0,0,0.2579026134,0,0.0001245437177,-0.00349690549,-0.004093328289,-0.002544379962,-1.845092111e-06,-0.001037864168,0.05,1,1,0
0.1,2.348908081e-05,-0.0006433131929,-0.0007073089539,-0.0003343598749,7.190534943e-07,-0.0001076183397,1.677791487e-06,1.677791487e-06,3.355582973e-06,7.190534943e-07,7.190534943e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.181128933e-05,-0.0006449909844,-0.0007106645369,-0.0003350789284,0,-0.0001080977086,0.0001259275386,-0.003723902346,-0.004103084032,-0.002579453786,0,-0.001040171657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002031144632,0,0,0,0,0,5.238375086e-05,0,0,0,0,0,3.224654495e-07,0,0,0,0,0,0.2579026134,0,0.0001259275367,-0.003723850711,-0.004103014961,-0.002579436626,0,-0.001040170533,0.05,1,1,0
