time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd6,dqd6,ddqd6,error6,z1,z2,hx,hbeta_x6,barrier_ratio6,alpha6,alpha_dot6,mu_s6,phi6,nu_r6,term_z2_6,term_mu_6,term_nu_6,virtual_accel_unsat6,virtual_accel6,theta_hat,tau6_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated6,rate_saturated6,abort
0.01,1,0.0002467198171,5.10527981e-05,2.58859258e-05,7.669903939e-06,7.59799859e-05,2.205097383e-05,-0.000254544937,0,0,0,0,0,0.001047197551,-0.0001850592816,0.01047183196,-2.870938426e-05,-6.948565541e-05,-0.0008023649026,-0.01373260899,11.54726664,0,-0.002939228532,0.01477980654,0.1022262492,-0.009265121476,1.001302017,-0.0003442098111,0.6866304497,0.009265121476,0.0003442098111,0.7984660301,0.7984660301,0.05,0.1077929141,9.587379924e-07,4.793689962e-07,-0,4.793689962e-07,-3.83495197e-06,0.1077929141,2.365396622e-10,1.182698311e-10,-0,1.182698311e-10,-9.461586487e-10,2.659464805e-05,0,0,0,0,0,0
0.02,1,0.0009866357859,5.153216709e-05,2.58859258e-05,7.669903939e-06,7.62196704e-05,2.253034282e-05,-0.000249271878,0,0,0,0,0,0,-8.034287589e-05,0.01047140133,-5.741798145e-05,-0.0001689290021,-0.001950644228,-0.02094467625,11.54725591,0,-0.002878340686,0.02094467625,0.1964273097,-0.02252458809,1.000249272,-0.0005238779846,1.047233812,0.02252458809,0.0005238779846,1.266709588,1.266709588,0.05,0.1710057944,-0,4.793689962e-07,-0,-0,-4.793689962e-06,0.1710057944,-0,4.729626063e-10,-0,-0,-4.729626063e-09,0.0001687204363,0,0,0,0,0,0
0.03,1,0.002219017698,5.225122059e-05,2.660497929e-05,7.669903939e-06,7.64593549e-05,2.253034282e-05,-0.0002466353486,0,0,0,0,0,0,2.436778803e-05,0.01047068361,-8.612500448e-05,-0.0002710031366,-0.003129294849,-0.0272724088,11.54725062,0,-0.00284789676,0.0272724088,0.2763500588,-0.0361347519,1.000246635,-0.0006821465784,1.36362044,0.0361347519,0.0006821465784,1.676787397,1.676787397,0.05,0.2263662986,-1.438106989e-06,-9.587379924e-07,-0,-4.793689962e-07,-4.793689962e-06,0.2263662986,-3.19118486e-09,-2.127456573e-09,-0,-1.063728287e-09,-1.063728287e-08,0.0005023108229,0,0,0,0,0,0
0.04,1,0.003942649343,5.225122059e-05,2.56462413e-05,7.430219441e-06,7.62196704e-05,2.253034282e-05,-0.0002451972416,0,0,0,0,0,0,0.0001290698395,0.01046967883,-0.0001148296664,-0.000374267081,-0.004321686675,-0.03367371327,11.54724776,0,-0.002831290981,0.03367371327,0.3430181636,-0.0499035868,1.000245197,-0.0008422557174,1.683685663,0.0499035868,0.0008422557174,2.07744967,2.07744967,0.05,0.2804557054,-1.438106989e-06,9.587379924e-07,4.793689962e-07,-0,-4.793689962e-06,0.2804557054,-5.669951574e-09,3.779967716e-09,1.889983858e-09,-0,-1.889983858e-08,0.001105738503,0,0,0,0,0,0
0.05,1,0.006155829702,5.153216709e-05,2.58859258e-05,7.669903939e-06,7.62196704e-05,2.229065832e-05,-0.0002430400811,0,0,0,0,0,0,0.0002337604079,0.01046838703,-0.0001435311801,-0.000476800489,-0.005505654259,-0.0400295872,11.54724351,0,-0.002806382312,0.0400295872,0.3964624076,-0.0635751304,1.00024304,-0.001001226179,2.00147936,0.0635751304,0.001001226179,2.462518124,2.462518124,0.05,0.3324399468,-0,4.793689962e-07,-0,-0,-4.314320966e-06,0.3324399468,-0,2.950913905e-09,-0,-0,-2.655822515e-08,0.002046443699,0,0,0,0,0,0
0.06,1,0.008856374636,5.10527981e-05,2.612561029e-05,7.669903939e-06,7.57403014e-05,2.253034282e-05,-0.0002406432361,0,0,0,0,0,0,0.0003384366234,0.01046680822,-0.0001722287589,-0.0005790798595,-0.006686709125,-0.04636962167,11.54723882,0,-0.002778706012,0.04636962167,0.4398322718,-0.07721302721,1.000240643,-0.001159798536,2.318481084,0.07721302721,0.001159798536,2.836686181,2.836686181,0.05,0.3829526345,9.587379924e-07,-0,-0,9.587379924e-07,-4.793689962e-06,0.3829526345,8.490942838e-09,-0,-0,8.490942838e-09,-4.245471419e-08,0.003391571998,0,0,0,0,0,0
0.07,1,0.01204161903,5.05734291e-05,2.49271878e-05,7.430219441e-06,7.59799859e-05,2.277002732e-05,-0.0002389654446,0,0.001047197551,0,0,0,0,0.0004430956159,0.01046494247,-0.000200921616,-0.0006820610605,-0.007875898171,-0.05275312238,11.54723557,0,-0.002759332601,0.05275312238,0.4761569727,-0.09094485152,1.000238965,-0.001319458444,2.637656119,0.09094485152,0.001319458444,3.206077402,3.206077402,0.05,0.4328204493,1.917475985e-06,-0.0001023229101,4.793689962e-07,4.793689962e-07,-5.273058958e-06,0.4328204493,2.308951531e-08,-1.232133502e-06,5.772378828e-09,5.772378828e-09,-6.34961671e-08,0.005211858959,0,0,0,0,0,0
0.08,1,0.01570841944,5.08131136e-05,2.54065568e-05,7.190534943e-06,7.669903939e-05,2.229065832e-05,-0.0002372876531,0,0,0,0,0,0,0.0005477345164,0.01046278981,-0.0002296089646,-0.0007850221695,-0.009064894428,-0.05913538456,11.54723234,0,-0.002739959189,0.05913538456,0.5056942563,-0.1046744421,1.000237288,-0.001479086302,2.956769228,0.1046744421,0.001479086302,3.568617013,3.568617013,0.05,0.4817632967,1.438106989e-06,1.438106989e-06,9.587379924e-07,-9.587379924e-07,-4.314320966e-06,0.4817632967,2.259038777e-08,2.259038777e-08,1.506025851e-08,-1.506025851e-08,-6.777116331e-08,0.007567739934,0,0,0,0,0,0
0.09,1,0.01985315716,5.153216709e-05,2.49271878e-05,7.190534943e-06,7.62196704e-05,2.253034282e-05,-0.0002370479686,0,0,0,0,0,0,0.000652350456,0.01046035031,-0.0002582900185,-0.0008893984246,-0.01027028015,-0.06560542684,11.54723188,0,-0.002737191558,0.06560542684,0.5315573338,-0.1185933064,1.000237048,-0.001640913345,3.280271342,0.1185933064,0.001640913345,3.932062896,3.932062896,0.05,0.5308284909,-0,2.396844981e-06,9.587379924e-07,-0,-4.793689962e-06,0.5308284909,-0,4.75849401e-08,1.903397604e-08,-0,-9.51698802e-08,0.01053862146,0,0,0,0,0,0
0.1,1,0.02447174185,5.249090509e-05,2.468750331e-05,7.909588438e-06,7.59799859e-05,2.277002732e-05,-0.0002363289151,0,0,0,0,0,0,0.0007569405667,0.01045762403,-0.0002869639912,-0.0009932694818,-0.01146988991,-0.07204425566,11.54723051,0,-0.002728888667,0.07204425566,0.5521507444,-0.1324454626,1.000236329,-0.001801957799,3.602212783,0.1324454626,0.001801957799,4.288610948,4.288610948,0.05,0.578962478,-1.917475985e-06,2.876213977e-06,-4.793689962e-07,4.793689962e-07,-5.273058958e-06,0.578962478,-4.692397731e-08,7.038596596e-08,-1.173099433e-08,1.173099433e-08,-1.290409376e-07,0.0141682203,0,0,0,0,0,0
