time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.277002732e-05,-0.0001699363092,-0.0002528671455,-0.0002322542787,4.554005464e-06,-0.0001061802327,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.004188790205,-0.006283185307,-0.003141592654,0,0,2.253034282e-05,-0.0001713744161,-0.000256462413,-0.0002329733322,4.314320966e-06,-0.0001073786552,0.0001300789961,-0.0009894314944,-0.001480689263,-0.001793434578,3.3211658e-05,-0.001033252542,0,0,0,0,3.882888919e-05,0,0,0,0,0,-3.882888919e-05,0,0,0,0,0,0.0001321080138,0,0,0,0,0,-0.0001502816754,0,0,0,0,0,-9.269938672e-09,0,0,0,0,0,0.2579026134,0,0.000130078994,-0.0009894305268,-0.001480686018,-0.001793428811,3.3211658e-05,-0.00103325144,0.05,1,1,0
0.02,2.300971182e-05,-0.0002169144708,-0.0003211772275,-0.000257421151,3.595267472e-06,-0.0001066596017,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.004188790205,-0.006283185307,-0.002094395102,0,0,2.277002732e-05,-0.0002183525778,-0.0003247724949,-0.0002581402045,3.355582973e-06,-0.0001078580241,0.0001314628152,-0.001260660941,-0.001875080631,-0.001987171068,2.583128955e-05,-0.001037865285,0,0,0,0,3.020024717e-05,0,0,0,0,0,-3.020024717e-05,0,0,0,0,0,0.0001885232759,0,0,0,0,0,-9.476476981e-05,0,0,0,0,0,-2.338034668e-08,0,0,0,0,0,0.2579026134,0,0.0001314628131,-0.001260658939,-0.00187507404,-0.001987163223,2.583128955e-05,-0.001037864168,0.05,1,1,0
0.03,2.372876531e-05,-0.0002746784348,-0.00038205709,-0.0002730006433,2.876213977e-06,-0.0001068992862,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.005235987756,-0.005235987756,-0.001047197551,0,0,2.348908081e-05,-0.0002761165418,-0.0003856523575,-0.0002737196968,2.636529479e-06,-0.0001080977086,0.0001356142727,-0.001594163133,-0.002226574569,-0.002107103375,2.029601321e-05,-0.001040171657,0,0,0,0,2.372876564e-05,0,0,0,0,0,-2.372876564e-05,0,0,0,0,0,0.0002243827568,0,0,0,0,0,-5.479106959e-05,0,0,0,0,0,-3.041246911e-08,0,0,0,0,0,0.2579026134,0,0.0001356142703,-0.001594159083,-0.002226563533,-0.002107094022,2.029601322e-05,-0.001040170533,0.05,1,1,0
0.04,2.372876531e-05,-0.0003281280779,-0.0004405401075,-0.0002801911783,2.636529479e-06,-0.0001071389707,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.005235987756,-0.004188790205,0,0,0,2.348908081e-05,-0.0003295661849,-0.000444135375,-0.0002809102318,2.396844981e-06,-0.0001083373931,0.0001356142727,-0.001902757272,-0.00256423152,-0.0021624568,1.84509211e-05,-0.001042478029,0,0,0,0,2.157160513e-05,0,0,0,0,0,-2.157160513e-05,0,0,0,0,0,0.0002239177252,0,0,0,0,0,-4.466918704e-05,0,0,0,0,0,-4.407221846e-08,0,0,0,0,0,0.2579026134,0,0.0001356142703,-0.001902750385,-0.002564214662,-0.00216244669,1.845092111e-05,-0.001042476897,0.05,1,1,0
0.05,2.348908081e-05,-0.0003880492024,-0.0004870389002,-0.0002864229752,2.636529479e-06,-0.0001066596017,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.005235987756,-0.003141592654,0,0,0,2.324939632e-05,-0.0003894873094,-0.0004906341676,-0.0002871420287,2.396844981e-06,-0.0001078580241,0.0001342304535,-0.002248715965,-0.002832697559,-0.002210429797,1.84509211e-05,-0.001037865285,0,0,0,0,2.157160513e-05,0,0,0,0,0,-2.157160513e-05,0,0,0,0,0,0.0002064868783,0,0,0,0,0,-4.916464801e-05,0,0,0,0,0,-7.577910096e-08,0,0,0,0,0,0.2579026134,0,0.0001342304512,-0.002248704596,-0.002832674832,-0.002210418999,1.845092111e-05,-0.001037864168,0.05,1,1,0
0.06,2.49271878e-05,-0.0004443750595,-0.0005201153609,-0.0002881007667,2.396844981e-06,-0.0001068992862,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.004188790205,-0.002094395102,0,0,0,2.468750331e-05,-0.0004458131665,-0.0005237106284,-0.0002888198202,2.157160483e-06,-0.0001080977086,0.0001425333684,-0.002573918422,-0.003023668892,-0.002223345608,1.660582899e-05,-0.001040171657,0,0,0,0,1.941444462e-05,0,0,0,0,0,-1.941444462e-05,0,0,0,0,0,0.0002061963034,0,0,0,0,0,-3.899777262e-05,0,0,0,0,0,-8.653674765e-08,0,0,0,0,0,0.2579026134,0,0.0001425333657,-0.002573901372,-0.003023641252,-0.00222333462,1.6605829e-05,-0.001040170533,0.05,1,1,0
0.07,2.444781881e-05,-0.0004959072266,-0.0005455219177,-0.0002926547722,2.157160483e-06,-0.0001071389707,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.004188790205,-0.001047197551,0,0,0,2.420813431e-05,-0.0004973453336,-0.0005491171852,-0.0002933738257,1.917475985e-06,-0.0001083373931,0.0001397657301,-0.00287144532,-0.003170357409,-0.002258402821,1.476073688e-05,-0.001042478029,0,0,0,0,1.725728411e-05,0,0,0,0,0,-1.725728411e-05,0,0,0,0,0,0.0002061997417,0,0,0,0,0,-2.875507046e-05,0,0,0,0,0,-8.682657568e-08,0,0,0,0,0,0.2579026134,0,0.0001397657275,-0.002871421648,-0.003170325547,-0.002258391304,1.476073689e-05,-0.001042476897,0.05,1,1,0
0.08,2.396844981e-05,-0.0005436044417,-0.0005565474046,-0.0002938531947,1.917475985e-06,-0.0001073786552,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.005235987756,0,0,0,0,2.372876531e-05,-0.0005450425487,-0.0005601426721,-0.0002945722482,1.677791487e-06,-0.0001085770776,0.0001369980918,-0.003146831869,-0.003234014801,-0.002267628405,1.291564477e-05,-0.0010447844,0,0,0,0,1.51001236e-05,0,0,0,0,0,-1.51001236e-05,0,0,0,0,0,0.0002066010011,0,0,0,0,0,-1.840976923e-05,0,0,0,0,0,-7.258326455e-08,0,0,0,0,0,0.2579026134,0,0.0001369980894,-0.003146800711,-0.00323398098,-0.002267616747,1.291564478e-05,-0.001044783261,0.05,1,1,0
0.09,2.396844981e-05,-0.0005855492289,-0.0005589442496,-0.0002972087777,2.157160483e-06,-0.0001078580241,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.002094395102,0,0,0,0,2.372876531e-05,-0.0005869873359,-0.0005625395171,-0.0002979278311,1.917475985e-06,-0.0001090564466,0.0001369980918,-0.003389007001,-0.003247853373,-0.002293460047,1.476073688e-05,-0.001049397144,0,0,0,0,1.725728411e-05,0,0,0,0,0,-1.725728411e-05,0,0,0,0,0,0.000174466856,0,0,0,0,0,-3.693906462e-05,0,0,0,0,0,-1.842583761e-07,0,0,0,0,0,0.2579026134,0,0.0001369980894,-0.003388968081,-0.003247819117,-0.002293447986,1.476073689e-05,-0.001049395989,0.05,1,1,0
0.1,2.51668723e-05,-0.0006198241121,-0.0005582251961,-0.0003034405746,2.157160483e-06,-0.0001080977086,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.003141592654,0,0,0,0,2.49271878e-05,-0.0006212622191,-0.0005618204636,-0.0003041596281,1.917475985e-06,-0.0001092961311,0.0001439171876,-0.003586899451,-0.003243701801,-0.002341433119,1.476073688e-05,-0.001051703516,0,0,0,0,1.725728411e-05,0,0,0,0,0,-1.725728411e-05,0,0,0,0,0,0.0001605992093,0,0,0,0,0,-4.051556693e-05,0,0,0,0,0,-2.494069303e-07,0,0,0,0,0,0.2579026133,0,0.0001439171848,-0.003586853307,-0.003243667676,-0.002341420285,1.476073689e-05,-0.001051702354,0.05,1,1,0
0.11,2.56462413e-05,-0.0006581736318,-0.0005577458271,-0.000316143853,1.917475985e-06,-0.0001080977086,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.003141592654,0,0,0,0,2.54065568e-05,-0.0006596117388,-0.0005613410946,-0.0003168629065,1.677791487e-06,-0.0001092961311,0.0001466848259,-0.003808318454,-0.003240934086,-0.002439224467,1.291564477e-05,-0.001051703516,0,0,0,0,1.51001236e-05,0,0,0,0,0,-1.51001236e-05,0,0,0,0,0,0.0001651927836,0,0,0,0,0,-2.908905672e-05,0,0,0,0,0,-2.165778281e-07,0,0,0,0,0,0.2579026133,0,0.0001466848229,-0.003808263226,-0.003240900049,-0.002439209957,1.291564478e-05,-0.001051702354,0.05,1,1,0
0.12,2.58859258e-05,-0.0006936469375,-0.0005579855116,-0.0003221359655,1.677791487e-06,-0.0001078580241,2.396844981e-07,1.438106989e-06,3.595267472e-06,7.190534943e-07,2.396844981e-07,1.198422491e-06,0,-0.003141592654,0,0,0,0,2.56462413e-05,-0.0006950850445,-0.0005615807791,-0.000322855019,1.438106989e-06,-0.0001090564466,0.0001480686451,-0.004013131902,-0.003242317944,-0.002485352504,1.107055266e-05,-0.001049397144,0,0,0,0,1.294296309e-05,0,0,0,0,0,-1.294296309e-05,0,0,0,0,0,0.0001703592911,0,0,0,0,0,-1.751478557e-05,0,0,0,0,0,-1.551175027e-07,0,0,0,0,0,0.2579026134,0,0.000148068642,-0.004013067276,-0.003242283862,-0.002485337155,1.107055267e-05,-0.001049395989,0.05,1,1,0
