time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd5,dqd5,ddqd5,error5,z1,z2,hx,hbeta_x5,barrier_ratio5,alpha5,alpha_dot5,mu_s5,phi5,nu_r5,term_z2_5,term_mu_5,term_nu_5,virtual_accel_unsat5,virtual_accel5,theta_hat,tau5_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated5,rate_saturated5,abort
0.01,1,0.0002467198171,4.506068564e-05,2.468750331e-05,5.992112453e-06,4.913532211e-05,3.115898475e-05,-8.796421081e-05,0,0,0,0,0,0,0.0001344401544,0.01047183196,-2.870938426e-05,-0.0001032811696,-0.001192589747,-0.01295062352,11.54700479,-0,1.660582885e-05,0.01295062352,0.04177700238,-0.01377083952,1.000031159,-0.0003237857646,0.5180249406,0.01377083952,0.0003237857646,0.5738965683,0.5738965683,0.05,0.01147793137,1.917475985e-06,-9.587379924e-07,1.438106989e-06,1.438106989e-06,0.01147793137,-3.211772275e-05,4.730793243e-10,-2.365396622e-10,3.548094933e-10,3.548094933e-10,2.831833128e-06,-7.924078683e-09,0,0,0,0,0,0
0.02,1,0.0009866357859,4.554005464e-05,2.444781881e-05,6.471481449e-06,4.985437561e-05,3.115898475e-05,-8.652610382e-05,0,0,0,0,0,0,0.0002391565601,0.01047140133,-5.741798145e-05,-0.0002079975753,-0.002401761453,-0.01546352977,11.54700479,-0,1.660582885e-05,0.01546352977,0.08009845343,-0.02773315101,1.000031159,-0.000386612336,0.6185411908,0.02773315101,0.000386612336,0.7267594076,0.7267594076,0.05,0.01453518815,9.587379924e-07,-4.793689962e-07,4.793689962e-07,-0,0.01453518815,-3.499393672e-05,9.459252126e-10,-4.729626063e-10,4.729626063e-10,-0,1.434093679e-05,-3.452627026e-08,0,0,0,0,0,0
0.03,1,0.002219017698,4.649879263e-05,2.444781881e-05,6.471481449e-06,5.00940601e-05,3.115898475e-05,-8.460862783e-05,0,0,0,0,0,0,0.000343867224,0.01047068361,-8.612500448e-05,-0.0003127082392,-0.00361088542,-0.01797613007,11.54700479,-0,1.660582885e-05,0.01797613007,0.1114147206,-0.04169491125,1.000031159,-0.000449431258,0.7190452027,0.04169491125,0.000449431258,0.8726042658,0.8726042658,0.05,0.01745208532,-9.587379924e-07,-4.793689962e-07,4.793689962e-07,-4.793689962e-07,0.01745208532,-3.882888869e-05,-2.127456573e-09,-1.063728287e-09,1.063728287e-09,-1.063728287e-09,3.872648619e-05,-8.616199122e-08,0,0,0,0,0,0
0.04,1,0.003942649343,4.530037014e-05,2.396844981e-05,5.752427955e-06,4.961469111e-05,3.115898475e-05,-8.436894333e-05,0,0,0,0,0,0,0.0004485692754,0.01046967883,-0.0001148296664,-0.0004174102907,-0.004819937774,-0.02048837475,11.54700479,-0,1.660582885e-05,0.02048837475,0.1369917543,-0.05565584458,1.000031159,-0.0005122412892,0.8195349901,0.05565584458,0.0005122412892,1.01269483,1.01269483,0.05,0.02025389661,1.438106989e-06,4.793689962e-07,1.917475985e-06,4.793689962e-07,0.02025389661,-3.930825769e-05,5.669951574e-09,1.889983858e-09,7.559935431e-09,1.889983858e-09,7.985401214e-05,-1.549786763e-07,0,0,0,0,0,0
0.05,1,0.006155829702,4.649879263e-05,2.444781881e-05,6.471481449e-06,5.00940601e-05,3.139866925e-05,-8.364988984e-05,0,0,0,0,0,0,0.0005532598439,0.01046838703,-0.0001435311801,-0.0005218611747,-0.006026127,-0.02299446172,11.54700479,-0,1.937346699e-05,0.02299446172,0.1577886143,-0.06958371737,1.000031399,-0.0005748976434,0.9197784689,0.06958371737,0.0005748976434,1.147725698,1.147725698,0.05,0.02295451397,-9.587379924e-07,-4.793689962e-07,4.793689962e-07,-4.793689962e-07,0.02295451397,-4.074636468e-05,-5.901827811e-09,-2.950913905e-09,2.950913905e-09,-2.950913905e-09,0.0001413040789,-2.50827682e-07,0,0,0,0,0,0
0.06,1,0.008856374636,4.601942364e-05,2.396844981e-05,6.471481449e-06,4.937500661e-05,3.139866925e-05,-8.317052084e-05,0,0,0,-0.001047197551,0,0,0.0006579360593,0.01046680822,-0.0001722287589,-0.0006265373901,-0.00723496449,-0.02550584615,11.54700479,-0,1.937346699e-05,0.02550584615,0.1748410932,-0.08354216966,1.000031399,-0.0006376861968,1.020233846,0.08354216966,0.0006376861968,1.279254795,1.279254795,0.05,0.0255850959,-0,4.793689962e-07,4.793689962e-07,0.0001056784931,0.0255850959,-4.170510267e-05,-0,4.245471419e-09,4.245471419e-09,9.359283259e-07,0.0002265911944,-3.693560135e-07,0,0,0,0,0,0
0.07,1,0.01204161903,4.506068564e-05,2.372876531e-05,6.711165947e-06,4.985437561e-05,3.139866925e-05,-8.341020534e-05,0,0,0,0,0,0,0.0007625950519,0.01046494247,-0.000200921616,-0.0007311963826,-0.008443658717,-0.02801672587,11.54700479,-0,1.937346699e-05,0.02801672587,0.1887883383,-0.09749896768,1.000031399,-0.0007004621319,1.120669035,0.09749896768,0.0007004621319,1.407656803,1.407656803,0.05,0.02815313606,1.917475985e-06,9.587379924e-07,-0,-0,0.02815313606,-4.122573367e-05,2.308951531e-08,1.154475766e-08,-0,-0,0.000339009339,-4.964245792e-07,0,0,0,0,0,0
0.08,1,0.01570841944,4.482100115e-05,2.324939632e-05,6.711165947e-06,5.00940601e-05,3.139866925e-05,-8.077367586e-05,0,0,0,0,0,0,0.0008672339524,0.01046278981,-0.0002296089646,-0.0008358352831,-0.009652185779,-0.03052705114,11.54700479,-0,1.937346699e-05,0.03052705114,0.2001634324,-0.1114538355,1.000031399,-0.0007632242047,1.221082046,0.1114538355,0.0007632242047,1.533462538,1.533462538,0.05,0.03066925075,2.396844981e-06,1.917475985e-06,-0,-4.793689962e-07,0.03066925075,-4.649879263e-05,3.765064628e-08,3.012051703e-08,-0,-7.530129257e-09,0.0004817654546,-7.304225379e-07,0,0,0,0,0,0
0.09,1,0.01985315716,4.601942364e-05,2.253034282e-05,6.471481449e-06,5.00940601e-05,3.115898475e-05,-8.125304486e-05,0,0,0,0,0,0,0.000971849892,0.01046035031,-0.0002582900185,-0.0009406909072,-0.01086328941,-0.0330425246,11.54700479,-0,1.660582885e-05,0.0330425246,0.209574452,-0.1254384548,1.000031159,-0.0008261145944,1.321700984,0.1254384548,0.0008261145944,1.657540005,1.657540005,0.05,0.03315080011,-0,3.355582973e-06,4.793689962e-07,-4.793689962e-07,0.03315080011,-4.554005464e-05,-0,6.661891614e-08,9.51698802e-09,-9.51698802e-09,0.0006581480446,-9.041138619e-07,0,0,0,0,0,0
0.1,1,0.02447174185,4.530037014e-05,2.324939632e-05,6.471481449e-06,5.03337446e-05,3.139866925e-05,-8.125304486e-05,0,0,0,0,0,0,0.001076440003,0.01045762403,-0.0002869639912,-0.001045041333,-0.01206864277,-0.03554583912,11.54700479,-0,1.937346699e-05,0.03554583912,0.2170331214,-0.1393566759,1.000031399,-0.0008887017835,1.421833565,0.1393566759,0.0008887017835,1.779112064,1.779112064,0.05,0.03558224128,1.438106989e-06,1.917475985e-06,4.793689962e-07,-9.587379924e-07,0.03558224128,-4.554005464e-05,3.519298298e-08,4.692397731e-08,1.173099433e-08,-2.346198865e-08,0.0008707594231,-1.114444461e-06,0,0,0,0,0,0
0.11,1,0.02955961552,4.601942364e-05,2.396844981e-05,6.711165947e-06,4.937500661e-05,3.139866925e-05,-8.125304486e-05,0,0,0,0,0,0,0.001181001417,0.01045461106,-0.0003156300966,-0.001149602748,-0.01327652484,-0.03805420215,11.54700479,-0,1.937346699e-05,0.03805420215,0.2232080142,-0.153304096,1.000031399,-0.0009514147973,1.522168086,0.153304096,0.0009514147973,1.899631611,1.899631611,0.05,0.03799263222,-0,4.793689962e-07,-0,9.587379924e-07,0.03799263222,-4.554005464e-05,-0,1.416996322e-08,-0,2.833992644e-08,0.001123047601,-1.346146506e-06,0,0,0,0,0,0
0.12,1,0.03511175706,4.530037014e-05,2.324939632e-05,5.992112453e-06,5.05734291e-05,3.139866925e-05,-8.149272936e-05,0,0,0,0,0,0,0.001285531268,0.01045131146,-0.0003442875488,-0.001254132599,-0.01448414403,-0.04056181135,11.54700479,-0,1.937346699e-05,0.04056181135,0.2282397777,-0.1672484806,1.000031399,-0.001014108964,1.622472454,0.1672484806,0.001014108964,2.018974821,2.018974821,0.05,0.04037949642,1.438106989e-06,1.917475985e-06,1.438106989e-06,-1.438106989e-06,0.04037949642,-4.506068564e-05,5.049446321e-08,6.732595094e-08,5.049446321e-08,-5.049446321e-08,0.001417795068,-1.582159847e-06,0,0,0,0,0,0
0.13,1,0.04112268716,4.506068564e-05,2.372876531e-05,6.471481449e-06,5.05734291e-05,3.139866925e-05,-8.149272936e-05,0,0,0,0,0,0,0.001390026691,0.01044772534,-0.0003729355623,-0.001358628022,-0.01569147639,-0.04306861676,11.54700479,-0,1.937346699e-05,0.04306861676,0.2323427391,-0.1811895532,1.000031399,-0.001076783035,1.722744671,0.1811895532,0.001076783035,2.137353746,2.137353746,0.05,0.04274707492,1.917475985e-06,9.587379924e-07,4.793689962e-07,-1.438106989e-06,0.04274707492,-4.506068564e-05,7.885176506e-08,3.942588253e-08,1.971294126e-08,-5.913882379e-08,0.001757874589,-1.853016479e-06,0,0,0,0,0,0
0.14,1,0.04758647377,4.577973914e-05,2.396844981e-05,6.950850445e-06,5.00940601e-05,3.115898475e-05,-8.125304486e-05,-0.001047197551,0,0,0,0,0,0.00149448482,0.01044385278,-0.0004015733515,-0.001463325836,-0.01690126557,-0.04558032084,11.54700479,-0,1.660582885e-05,0.04558032084,0.2357710563,-0.1951589946,1.000031159,-0.001139579034,1.823212834,0.1951589946,0.001139579034,2.255282464,2.255282464,0.05,0.04510564927,0.0001051991241,4.793689962e-07,-4.793689962e-07,-4.793689962e-07,0.04510564927,-4.554005464e-05,5.00605536e-06,2.281148016e-08,-2.281148016e-08,-2.281148016e-08,0.002146418796,-2.167090615e-06,0,0,0,0,0,0
0.15,1,0.05449673791,4.625910813e-05,2.51668723e-05,6.711165947e-06,4.985437561e-05,3.211772275e-05,-8.125304486e-05,0,0,0,0,0,0,0.001598902792,0.01043969391,-0.0004302001314,-0.00156678507,-0.01809688175,-0.04806235888,11.54700481,-0,2.767638141e-05,0.04806235888,0.2380147717,-0.2089647805,1.000032118,-0.001201636156,1.922494355,0.2089647805,0.001201636156,2.370675544,2.370675544,0.05,0.04741351087,-4.793689962e-07,-1.917475985e-06,-0,-0,0.04741351087,-4.554005464e-05,-2.612404655e-08,-1.044961862e-07,-0,-0,0.002583881675,-2.481784422e-06,0,0,0,0,0,0
0.16,1,0.06184665998,4.554005464e-05,2.49271878e-05,6.231796951e-06,4.961469111e-05,3.115898475e-05,-8.101336036e-05,0,0,0,0,0,0,0.001703277744,0.01043524882,-0.0004588151171,-0.00167211876,-0.01931428019,-0.05058946254,11.54700479,-0,1.660582885e-05,0.05058946254,0.240676406,-0.2230220859,1.000031159,-0.001264815381,2.023578502,0.2230220859,0.001264815381,2.488541809,2.488541809,0.05,0.04977083618,9.587379924e-07,-1.438106989e-06,9.587379924e-07,4.793689962e-07,0.04977083618,-4.601942364e-05,5.929474263e-08,-8.894211394e-08,5.929474263e-08,2.964737131e-08,0.003078159982,-2.846147646e-06,0,0,0,0,0,0
0.17,1,0.0696289865,4.554005464e-05,2.396844981e-05,6.231796951e-06,4.961469111e-05,3.139866925e-05,-8.197209835e-05,0,0,0,0,0,0,0.001807606815,0.01043051765,-0.0004874175242,-0.001776208146,-0.02051745756,-0.0530867999,11.54700479,-0,1.937346699e-05,0.0530867999,0.2423335071,-0.2369151808,1.000031399,-0.001327253342,2.123471996,0.2369151808,0.001327253342,2.604047937,2.604047937,0.05,0.05208095875,9.587379924e-07,4.793689962e-07,9.587379924e-07,4.793689962e-07,0.05208095875,-4.410194765e-05,6.675595473e-08,3.337797736e-08,6.675595473e-08,3.337797736e-08,0.003626344373,-3.070773918e-06,0,0,0,0,0,0
0.18,1,0.07783603725,4.458131665e-05,2.444781881e-05,6.471481449e-06,4.985437561e-05,3.091930026e-05,-8.053399136e-05,0,0,0,0,0,0,0.001911887144,0.01042550051,-0.0005160065685,-0.001880967844,-0.02172853091,-0.05560034029,11.54700479,-0,1.383819071e-05,0.05560034029,0.2439840179,-0.2508994505,1.000030919,-0.001390094465,2.224013612,0.2508994505,0.001390094465,2.720287175,2.720287175,0.05,0.05440574349,2.876213977e-06,-4.793689962e-07,4.793689962e-07,-0,0.05440574349,-4.697816163e-05,2.238730983e-07,-3.731218305e-08,3.731218305e-08,-0,0.004234727477,-3.656593938e-06,0,0,0,0,0,0
0.19,1,0.08645971286,4.506068564e-05,2.54065568e-05,6.471481449e-06,4.961469111e-05,3.139866925e-05,-8.149272936e-05,0,0,-0.001047197551,0,0,0,0.002016115873,0.01042019756,-0.0005445814662,-0.001984717203,-0.02292810268,-0.05808976634,11.54700479,-0,1.937346699e-05,0.05808976634,0.2448985379,-0.2647509116,1.000031399,-0.001452335357,2.323590653,0.2647509116,0.001452335357,2.834692438,2.834692438,0.05,0.05669384877,1.917475985e-06,-2.396844981e-06,0.0001051991241,4.793689962e-07,0.05669384877,-4.506068564e-05,1.657844231e-07,-2.072305288e-07,9.095486064e-06,4.144610577e-08,0.004901733885,-3.895933942e-06,0,0,0,0,0,0
0.2,1,0.09549150281,4.506068564e-05,2.396844981e-05,6.711165947e-06,5.00940601e-05,3.115898475e-05,-8.029430687e-05,0,0,0,0,0,0,0.002120290143,0.01041460893,-0.000573141434,-0.002089131158,-0.02413552223,-0.06059529479,11.54700479,-0,1.660582885e-05,0.06059529479,0.2459373004,-0.2786929909,1.000031159,-0.001514976776,2.423811792,0.2786929909,0.001514976776,2.94995706,2.94995706,0.05,0.05899914119,1.917475985e-06,4.793689962e-07,-0,-4.793689962e-07,0.05899914119,-4.745753063e-05,1.831026634e-07,4.577566585e-08,-0,-4.577566585e-08,0.005633916657,-4.531790919e-06,0,0,0,0,0,0
0.21,1,0.1049224938,4.554005464e-05,2.372876531e-05,6.471481449e-06,4.961469111e-05,3.139866925e-05,-8.101336036e-05,0,0,0,0,0,0,0.0022244071,0.01040873479,-0.0006016856887,-0.00219300843,-0.02533692723,-0.06308811303,11.54700479,-0,1.937346699e-05,0.06308811303,0.2465454621,-0.2925656202,1.000031399,-0.001577301871,2.523524521,0.2925656202,0.001577301871,3.064212905,3.064212905,0.05,0.06128425811,9.587379924e-07,9.587379924e-07,4.793689962e-07,4.793689962e-07,0.06128425811,-4.601942364e-05,1.005931811e-07,1.005931811e-07,5.029659054e-08,5.029659054e-08,0.006430097192,-4.828472692e-06,0,0,0,0,0,0
